John Smith,123,Main Street Cityville State,123456
Emily Johnson,456,Oak Avenue,56789
Michael Davis,789,Pine Road,10111
John Smith,1122,Main Street Cityville State,-49893
Emily Johnson,1455,Oak Avenue,-106565.5
Michael Davis,1788,Pine Road,-163238
John Smith,2121,Main Street Cityville State,-219910.5
Emily Johnson,2454,Oak Avenue,-276583
Michael Davis,2787,Pine Road,-333255.5
John Smith,3120,Main Street Cityville State,-389928
Emily Johnson,3453,Oak Avenue,-446600.5
Michael Davis,3786,Pine Road,-503273
John Smith,4119,Main Street Cityville State,-559945.5
Emily Johnson,4452,Oak Avenue,-616618
Michael Davis,4785,Pine Road,-673290.5
John Smith,5118,Main Street Cityville State,-729963
Emily Johnson,5451,Oak Avenue,-786635.5
Michael Davis,5784,Pine Road,-843308
John Smith,6117,Main Street Cityville State,-899980.5
Emily Johnson,6450,Oak Avenue,-956653
Michael Davis,6783,Pine Road,-1013325.5
John Smith,7116,Main Street Cityville State,-1069998
Emily Johnson,7449,Oak Avenue,-1126670.5
John Smith,7782,Main Street Cityville State,-1183343
Emily Johnson,8115,Oak Avenue,-1240015.5
Michael Davis,8448,Pine Road,-1296688
John Smith,8781,Main Street Cityville State,-1353360.5
Emily Johnson,9114,Oak Avenue,-1410033
Michael Davis,9447,Pine Road,-1466705.5
John Smith,9780,Main Street Cityville State,-1523378
Emily Johnson,10113,Oak Avenue,-1580050.5
Michael Davis,10446,Pine Road,-1636723
John Smith,10779,Main Street Cityville State,-1693395.5
Emily Johnson,11112,Oak Avenue,-1750068
Michael Davis,11445,Pine Road,-1806740.5
John Smith,11778,Main Street Cityville State,-1863413
Emily Johnson,12111,Oak Avenue,-1920085.5
Michael Davis,12444,Pine Road,-1976758
John Smith,12777,Main Street Cityville State,-2033430.5
Emily Johnson,13110,Oak Avenue,-2090103
Michael Davis,13443,Pine Road,-2146775.5
John Smith,13776,Main Street Cityville State,-2203448
Emily Johnson,14109,Oak Avenue,-2260120.5
Michael Davis,14442,Pine Road,-2316793
John Smith,14775,Main Street Cityville State,-2373465.5
Emily Johnson,15108,Oak Avenue,-2430138
John Smith,15441,Main Street Cityville State,-2486810.5
Emily Johnson,15774,Oak Avenue,-2543483
Michael Davis,16107,Pine Road,-2600155.5
John Smith,16440,Main Street Cityville State,-2656828
John Smith,16773,Main Street Cityville State,-2713500.5
Emily Johnson,17106,Oak Avenue,-2770173
John Smith,17439,Main Street Cityville State,-2826845.5
Emily Johnson,17772,Oak Avenue,-2883518
Michael Davis,18105,Pine Road,-2940190.5
John Smith,18438,Main Street Cityville State,-2996863
Emily Johnson,18771,Oak Avenue,-3053535.5
Michael Davis,19104,Pine Road,-3110208
John Smith,19437,Main Street Cityville State,-3166880.5
Emily Johnson,19770,Oak Avenue,-3223553
Michael Davis,20103,Pine Road,-3280225.5
John Smith,20436,Main Street Cityville State,-3336898
Emily Johnson,20769,Oak Avenue,-3393570.5
Michael Davis,21102,Pine Road,-3450243
John Smith,21435,Main Street Cityville State,-3506915.5
Emily Johnson,21768,Oak Avenue,-3563588
Michael Davis,22101,Pine Road,-3620260.5
John Smith,22434,Main Street Cityville State,-3676933
Emily Johnson,22767,Oak Avenue,-3733605.5
Michael Davis,23100,Pine Road,-3790278
John Smith,23433,Main Street Cityville State,-3846950.5
Emily Johnson,23766,Oak Avenue,-3903623
Michael Davis,24099,Pine Road,-3960295.5
John Smith,24432,Main Street Cityville State,-4016968
Emily Johnson,24765,Oak Avenue,-4073640.5
John Smith,25098,Main Street Cityville State,-4130313
Emily Johnson,25431,Oak Avenue,-4186985.5
Michael Davis,25764,Pine Road,-4243658
John Smith,26097,Main Street Cityville State,-4300330.5
John Smith,26430,Main Street Cityville State,-4357003
Emily Johnson,26763,Oak Avenue,-4413675.5
John Smith,27096,Main Street Cityville State,-4470348
Emily Johnson,27429,Oak Avenue,-4527020.5
Michael Davis,27762,Pine Road,-4583693
John Smith,28095,Main Street Cityville State,-4640365.5
Emily Johnson,28428,Oak Avenue,-4697038
Michael Davis,28761,Pine Road,-4753710.5
John Smith,29094,Main Street Cityville State,-4810383
Emily Johnson,29427,Oak Avenue,-4867055.5
Michael Davis,29760,Pine Road,-4923728
